Word	Category
misleading	fairness_vice
discriminated	fairness_vice
bilked	fairness_vice
deceiving	fairness_vice
untrustworthy	fairness_vice
prejudiced	fairness_vice
false advertise	fairness_vice
scammers	fairness_vice
swindler	fairness_vice
theft	fairness_vice
duplicitous	fairness_vice
hoodwinked	fairness_vice
bigoted	fairness_vice
sexism	fairness_vice
disproportionate	fairness_vice
swindlers	fairness_vice
discriminate	fairness_vice
conniving	fairness_vice
sexist	fairness_vice
betraying	fairness_vice
hoodwinking	fairness_vice
partiality	fairness_vice
misleads	fairness_vice
disproportion	fairness_vice
economic disparity	fairness_vice
exploiter	fairness_vice
bilk	fairness_vice
biases	fairness_vice
bigots	fairness_vice
distrust	fairness_vice
dupe	fairness_vice
crook	fairness_vice
racists	fairness_vice
con artist	fairness_vice
bilking	fairness_vice
blackmailing	fairness_vice
deceives	fairness_vice
betrayers	fairness_vice
deceiver	fairness_vice
blackmailed	fairness_vice
duping	fairness_vice
shyster	fairness_vice
connivers	fairness_vice
imbalanced	fairness_vice
con artists	fairness_vice
sexists	fairness_vice
thieving	fairness_vice
betray	fairness_vice
imbalance	fairness_vice
disproportions	fairness_vice
disproportionately	fairness_vice
freeloader	fairness_vice
misleaders	fairness_vice
connived	fairness_vice
shysters	fairness_vice
scammer	fairness_vice
connives	fairness_vice
conniver	fairness_vice
disadvantaged	fairness_vice
plagiaristic	fairness_vice
moocher	fairness_vice
dupes	fairness_vice
discriminating	fairness_vice
tricked	fairness_vice
segregation	fairness_vice
false advertised	fairness_vice
thief	fairness_vice
betrayer	fairness_vice
bigot	fairness_vice
exploiting	fairness_vice
lying	fairness_vice
thieves	fairness_vice
stealing	fairness_vice
suckered	fairness_vice
deceivers	fairness_vice
bamboozled	fairness_vice
false advertisement	fairness_vice
freeload	fairness_vice
bamboozle	fairness_vice
did rob	fairness_vice
freeloading	fairness_vice
steal	fairness_vice
pickpocketing	fairness_vice
blackmailer	fairness_vice
prejudicing	fairness_vice
chauvinists	fairness_vice
exploit	fairness_vice
misleader	fairness_vice
hoodwinks	fairness_vice
false advertiser	fairness_vice
imbalances	fairness_vice
pickpocketed	fairness_vice
exploited	fairness_vice
pickpockets	fairness_vice
bamboozles	fairness_vice
tricking	fairness_vice
taking advantage	fairness_vice
pickpocket	fairness_vice
false advertisers	fairness_vice
biasing	fairness_vice
false impression	fairness_vice
bamboozling	fairness_vice
false witness	fairness_vice
robs	fairness_vice
moochers	fairness_vice
betrays	fairness_vice
robbing	fairness_vice
false advertises	fairness_vice
false impressions	fairness_vice
blackmails	fairness_vice
double cross	fairness_vice
blackmailers	fairness_vice
will rob	fairness_vice
stolen	fairness_vice
distrustful	fairness_vice
false advertising	fairness_vice
double crossers	fairness_vice
mooches	fairness_vice
disproportioned	fairness_vice
mooching	fairness_vice
segregated	fairness_vice
double crosser	fairness_vice
robbed	fairness_vice
misleadingly	fairness_vice
segregating	fairness_vice
stole	fairness_vice
double crosses	fairness_vice
being partial	fairness_vice
exploits	fairness_vice
distrusts	fairness_vice
mooch	fairness_vice
segregate	fairness_vice
robbers	fairness_vice
distrusted	fairness_vice
double crossing	fairness_vice
distrusting	fairness_vice
double crossed	fairness_vice
be partial	fairness_vice
go back on	fairness_vice
stacking the deck	fairness_vice
robber	fairness_vice
segregates	fairness_vice
ripping off	fairness_vice
trickster	fairness_vice
rips off	fairness_vice
behind their backs	fairness_vice
mooched	fairness_vice
stacked the deck	fairness_vice
was partial	fairness_vice
am partial	fairness_vice
stacked deck	fairness_vice
stacks the deck	fairness_vice
behind their back	fairness_vice
been partial	fairness_vice
free rider	fairness_vice
ripped off	fairness_vice
free riders	fairness_vice
deceivingly	fairness_vice
steals	fairness_vice
unequaled	fairness_vice
team player	loyalty_virtue
player	loyalty_virtue
patriot	loyalty_virtue
loyal	loyalty_virtue
loyalty	loyalty_virtue
patriots	loyalty_virtue
follower	loyalty_virtue
fidelity	loyalty_virtue
allegiance	loyalty_virtue
ally	loyalty_virtue
comrade	loyalty_virtue
loyalties	loyalty_virtue
death do us part	loyalty_virtue
faction	loyalty_virtue
